2025-01-26 22:58:08 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:00:34 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:01:09 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:02:21 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:31:01 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:31:50 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:35:10 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:36:39 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:37:32 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:39:03 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:50:37 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:54:49 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:55:32 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 23:56:56 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:33:35 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:34:16 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:35:23 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:35:37 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:37:22 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:37:37 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:40:11 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:40:54 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:41:08 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:41:34 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:43:03 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:44:19 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:45:06 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:45:57 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:47:24 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:48:50 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:51:27 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:54:14 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:54:39 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 01:56:18 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:00:55 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:02:36 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:07:43 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:08:24 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:09:34 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:11:47 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:12:14 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:14:21 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:15:23 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:17:03 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:18:53 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:22:08 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:25:21 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:26:42 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 02:28:07 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
