2025-01-27 02:22:08 - INFO - Message received: ID=0x33, Data=bytearray(b'P\x03\x002\x01\xf4')
2025-01-27 02:25:21 - INFO - Message received: ID=0x33, Data=bytearray(b'P\x03\x002\x01\xf4')
2025-01-27 02:26:42 - INFO - Message received: ID=0x33, Data=bytearray(b'P\x03\x002\x01\xf4')
2025-01-27 02:28:07 - INFO - Message received: ID=0x33, Data=bytearray(b'P\x03\x002\x01\xf4')
2025-01-27 02:29:55 - INFO - Message received: ID=0x33, Data=bytearray(b'P\x03\x002\x01\xf4')
2025-01-27 02:34:33 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:40:39 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:41:53 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:44:18 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:46:07 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:47:58 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:49:02 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:50:44 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:53:15 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:55:08 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 02:58:29 - INFO - Message received: ID=0x51, Data=bytearray(b'\x04P\x03')
2025-01-27 03:00:31 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 03:02:48 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 03:08:01 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 03:10:46 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 03:18:43 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
2025-01-27 03:21:45 - INFO - Message received: ID=0x33, Data=bytearray(b'\x04P\x03')
