2025-01-23 23:53:46 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-23 23:55:05 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-23 23:55:16 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-24 00:00:11 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-24 00:00:20 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 19:41:21 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 19:42:45 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 19:47:17 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-26 19:48:59 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:34:59 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:37:21 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:41:34 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:44:09 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:44:42 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:46:54 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:47:34 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:57:51 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 11:58:37 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:10:30 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:11:36 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:12:04 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:12:39 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:13:21 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:17:02 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:18:27 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:21:52 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:24:38 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:26:22 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:27:41 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:33:49 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:35:16 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:38:06 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:40:19 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
2025-01-27 12:42:29 - INFO - Filters set successfully: [{'can_id': 51, 'can_mask': 2047, 'extended': False}]
